"Time","overflow 107082","overflow 110600","overflow 11798","overflow 135356","overflow 135591","overflow 137975","overflow 138512","overflow 143817","overflow 150314","overflow 151317","overflow 1524","overflow 1536","overflow 1618","overflow 16324","overflow 1660","overflow 17950","overflow 17963","overflow 18452","overflow 18495","overflow 18498","overflow 21086","overflow 23355","overflow 33314","overflow 3388","overflow 34683","overflow 35492","overflow 35495","overflow 35742","overflow 37119","overflow 42046","overflow 44184","overflow 4633","overflow 46428","overflow 5052","overflow 5066","overflow 5969","overflow 6370","overflow 6392","overflow 7124","overflow 729","overflow 782","overflow 8072","overflow 87070"
1720900800000,,0,,,0,0,0,0,0,,0,0,0,,0,,0,,,,,,,0,0,0,,0,0,,,,,0,,0,,0,0,,,0,0
1720908000000,0,0,,0,0,1,0,0,0,0,0,0,1,,0,,0,1,,,0,0,0,0.5,0,0.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720915200000,0,0,,0,0,0,0,0,0,0,0,0,1,,0,,0,1,,,0,0,0,0.5,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720922400000,0,0,,0,0,1,0,0,0,0,0,0,1,,0,,0,1,,,0,0,0,0,0,1,0,0,0,,0,0,,0.5,0,0,0,0,0,0,0,0,0
1720929600000,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,1,0,1,0,0.5,0,,0,0,,0.5,0,0,0,0,0,0,0,0,0
1720936800000,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720944000000,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720951200000,0,0,,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720958400000,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1720965600000,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
